x座標,y座標,幅,高さ,rad,radpUus,vx,vy
268,153,32.7381,35.71429,0,0,0,0
330,136,32.7381,35.71429,0,0,0,0
402,137,32.7381,35.71429,0,0,0,0
439,172,32.7381,35.71429,0,0,0,0
458,216,32.7381,35.71429,0,0,0,0
450,244,32.7381,35.71429,0,0,0,0
433,283,32.7381,35.71429,0,0,0,0
391,307,32.7381,35.71429,0,0,0,0
344,326,32.7381,35.71429,0,0,0,0
293,336,32.7381,35.71429,0,0,0,0
241,334,32.7381,35.71429,0,0,0,0
166,325,32.7381,35.71429,0,0,0,0
118,273,32.7381,35.71429,0,0,0,0
98,221,32.7381,35.71429,0,0,0,0
95,167,32.7381,35.71429,0,0,0,0
109,116,32.7381,35.71429,0,0,0,0
146,78,32.7381,35.71429,0,0,0,0
183,56,32.7381,35.71429,0,0,0,0
223,43,32.7381,35.71429,0,0,0,0
284,33,32.7381,35.71429,0,0,0,0
334,30,32.7381,35.71429,0,0,0,0
429,29,32.7381,35.71429,0,0,0,0
464,36,32.7381,35.71429,0,0,0,0
531,53,32.7381,35.71429,0,0,0,0
594,129,32.7381,35.71429,0,0,0,0
621,196,32.7381,35.71429,0,0,0,0
626,300,32.7381,35.71429,0,0,0,0
622,338,32.7381,35.71429,0,0,0,0
595,404,32.7381,35.71429,0,0,0,0
551,437,32.7381,35.71429,0,0,0,0
506,471,32.7381,35.71429,0,0,0,0
